commodity,date,sentiment_positive_mean,sentiment_neutral_mean,sentiment_negative_mean,article_count,dominant_sentiment,sentiment_dispersion
Wheat,2015-01-20,0.0203366484493017,0.1091767624020576,0.8704866170883179,1,negative,0.0
Wheat,2015-03-02,0.0178813822567462,0.0299527607858181,0.9521659016609192,1,negative,0.0
Wheat,2015-03-04,0.7815089225769043,0.2040345221757888,0.0144565440714359,1,positive,0.0
Wheat,2015-03-09,0.5406539440155029,0.3941487967967987,0.0651972666382789,1,positive,0.0
Wheat,2015-03-11,0.0158068872988224,0.0220311637967824,0.9621619582176208,1,negative,0.0
Wheat,2015-03-12,0.0280460454523563,0.6585166454315186,0.313437283039093,1,neutral,0.0
Wheat,2015-03-14,0.0095178857445716,0.0243667252361774,0.966115415096283,1,negative,0.0
Wheat,2015-03-22,0.0156633574515581,0.1658418327569961,0.8184947967529297,1,negative,0.0
Wheat,2015-03-31,0.0097425198182463,0.0314325653016567,0.9588248133659364,1,negative,0.0
Wheat,2015-04-02,0.0456451177597045,0.9186252355575562,0.0357296541333198,1,neutral,0.0
Wheat,2015-04-05,0.03707979992032045,0.9203979671001434,0.042522223666310255,2,neutral,0.0023503936827182492
Wheat,2015-04-07,0.010076224571093851,0.0425076084211468,0.9474162459373474,2,negative,0.00296363909728825
Wheat,2015-04-08,0.4080853844061494,0.2090446203947067,0.3828699612058699,2,positive,0.3820905899628997
Wheat,2015-04-09,0.0434330031275749,0.0526024028658866,0.9039645791053772,1,negative,0.0
Wheat,2015-04-12,0.2416485697031021,0.0694345906376838,0.6889168620109558,1,negative,0.0
Wheat,2015-04-14,0.0264426162466406,0.49115734361112107,0.4824000746011734,2,neutral,0.0136935906484723
Wheat,2015-04-16,0.17162910383194685,0.34216661658138037,0.4862043191678822,2,neutral,0.15935247857123616
Wheat,2015-04-17,0.3982622623443603,0.5768459439277649,0.0248918253928422,1,neutral,0.0
Wheat,2015-04-18,0.053394490852951955,0.4731868952512741,0.47341862320899963,2,negative,0.02607112936675545
Wheat,2015-04-19,0.23157976195216176,0.3343696668744087,0.43405057303607464,2,negative,0.19548671320080754
Wheat,2015-04-21,0.0105505716055631,0.0322835445404052,0.9571659564971924,1,negative,0.0
Wheat,2015-04-22,0.01935311593115325,0.3476945227012038,0.6329523473978043,2,neutral,0.012588003650307648
