publish_date,headline_category,headline_text,commodity
2013-11-03,city.jaipur,After onion; tomato prices hit the roof,Onion
2013-11-04,city.hubballi,Onion growers block roads over low prices,Onion
2013-11-06,city.delhi,Diwali pushes onion; tomato up to Rs 80/kg again in Delhi,Onion
2013-11-08,home.science,This onion won't make you cry,Onion
2013-11-09,india,Onion prices up 21.95% at Lasalgaon; supply still low,Onion
2013-11-09,city.kolhapur,After onion; potato prices skyrocket with falling supplies,Onion
2013-11-10,city.nashik,Onion prices rise by Rs 15/kg within a week,Onion
2013-11-10,city.kolkata,Bengal-bound fish; onion cargoes blocked in Odisha,Onion
2013-11-12,city.nashik,Fresh arrival sees onion prices drop to Rs 50 per kg,Onion
2013-11-13,india,No let-up in prices of onion; potato; tomato,Onion
2013-11-14,city.pune,Onion prices continue to drop,Onion
2013-11-15,business.india-business,Onion prices up 278%; tomato 122% in one year,Onion
2013-11-21,city.nashik,Onion trader duped of Rs 10 lakh,Onion
2013-11-21,city.nashik,Onion prices go up 10.7% at Lasalgaon,Onion
2013-11-23,city.nashik,Onion prices fall 19.35% at Lasalgaon,Onion
2013-11-23,business.india-business,Onion price-rise: Food programmes on TV dish out recipes for inflation-stung middle class viewers,Onion
2013-11-23,city.guwahati,Onion still costs 60 per kg in city markets,Onion
2013-11-25,city.aurangabad,Price stable; now it's onion quality that's troubling,Onion
2013-11-26,city.nashik,Onion price falls to season's lowest at Lasalgaon,Onion
2013-11-29,city.nashik,Wholesale onion prices steady at Lasalgaon,Onion
2013-12-03,india,Massive fall in onion prices expected in January,Onion
2013-12-03,city.delhi,Onion; potato prices in Delhi go down,Onion
2013-12-03,assembly-elections-2013.delhi-assembly-elections,Onion; potato prices in Delhi go down,Onion
2013-12-04,city.nashik,Onion prices fall 68% in a month to 1;600/quintal,Onion
2013-12-06,city.nashik,Onion prices may fall to Rs 1;000 per quintal: Expert,Onion
2013-12-06,city.thane,Onion prices down to Rs 20 per kg; tomatoes Rs 22,Onion
2013-12-11,city.nashik,Marginal decline in average wholesale onion price at Lasalgaon,Onion
2013-12-13,city.nashik,Kharif crop brings down onion prices,Onion
2013-12-15,business.india-business,Wholesale onion prices drop to season's lowest at Rs 12 per kg,Onion
2013-12-15,city.navimumbai,Wholesale onion prices slump; but retail remains high,Onion
2013-12-18,city.nashik,Farmers protest over falling onion prices,Onion
2013-12-18,city.nagpur,Govt now rushes to push up onion prices,Onion
2013-12-18,india,Now; onion over-supply leads to crisis,Onion
2013-12-19,city.nashik,Onion prices hit a new six-month low,Onion
2013-12-20,city.ahmedabad,Wholesale onion prices fall to Rs 9/kg,Onion
2013-12-20,business.india-business,Minimum export price for onion fixed at $350 per tonne to boost export,Onion
2013-12-21,city.mumbai,Farmers cry foul as onion prices crash,Onion
2013-12-21,city.nashik,Onion prices up 34% after minimum export prices slash,Onion
2013-12-21,business.india-business,Onion exports decline by 32.4% in current fiscal,Onion
2013-12-22,city.nashik,Onion markets head for glut despite drop in MEP,Onion
2013-12-24,city.nashik,Onion at seven-month low of Rs 950/Q,Onion
2013-12-25,city.nashik,Scrap MEP for onion; says Pawar,Onion
2013-12-27,city.nashik,Respite to farmers as onion price rises by Rs 10,Onion
2013-12-27,business.india-business,Minimum export price for onion likely to be scrapped,Onion
2013-12-28,city.nashik,Minimum export price reduced again; but onion market yet to pick up,Onion
2013-12-31,city.nashik,Farmers rejoice as onion prices rise by 20%,Onion
2014-01-07,city.nashik,Average wholesale onion prices fall to Rs 1;125/q sees slight drop at Lasalgaon,Onion
2014-01-14,city.ahmedabad,Onion; mustard; cumin are flavour of rabi season,Onion
2014-01-21,city.nashik,Onion price drops to 12/kg in retail markets,Onion
2014-01-31,city.nashik,FDA to launch drive to register onion traders,Onion
2014-02-04,city.rajkot,Turning tide of onion prices sinks farmers,Onion
2014-02-05,city.ahmedabad,Bumper crop signs reduce onion farmers to tears,Onion
2014-02-09,business.india-business,Wholesale onion price dips to 5 per kg in Mumbai,Onion
2014-03-06,city.nashik,Removal of MEP will boost onion exports,Onion
2014-03-12,city.nashik,Onion costlier by 18% at Rs 890 per quintal,Onion
2014-03-13,city.nashik,Onion exports decline 26.82% by Feb end,Onion
2014-03-21,business.india-business,Rabi onion production may fall by 20% due to rain; hail,Onion
2014-03-26,city.nashik,Onion prices rise 24% in a week,Onion
2014-03-27,city.pune,Half of onion crop in Nashik district lost,Onion
2014-04-02,india,Onion farmers shed old techniques for high yield,Onion
2014-04-04,city.nashik,Onion auction restarts after a week,Onion
2014-04-18,city.nashik,Onion prices rise by 40% in a week,Onion
2014-04-18,india,Onion prices rise about 40% in a week,Onion
2014-04-20,city.trichy,Onion farmers shift to tapioca farming to evade water scarcity,Onion
2014-04-20,city.bhubaneswar,Onion and potato get dearer due to short supply,Onion
2014-04-27,city.nashik,Marginal dip in Lasalgaon onion price,Onion
2014-04-29,city.navimumbai,Onion truck topples off Turbhe flyover,Onion
2014-05-07,city.nashik,Now; helpline launched for onion growers,Onion
2014-05-08,city.nashik,Onion prices decline on poor quality of arrival,Onion
2014-05-09,city.nashik,Hailstorms and rain leave onion growers jittery,Onion
2014-05-13,city.nashik,Onion touches Rs 1;000/quintal mark in Nashik,Onion
2014-05-22,city.pune,Onion prices go up in wholesale market,Onion
2014-05-28,india,Rising potato; onion and milk prices worry for Modi govt,Onion
2014-06-11,business.india-business,Govt may check onion export to curb price rise,Onion
2014-06-12,city.mumbai,Rise in onion prices adds to summer inflation in Mumbai,Onion
2014-06-12,city.goa,Onion rates bring tears to eyes again,Onion
2014-06-17,business.india-business,Centre asks Maharashtra govt to resolve Nasik onion labourers' issues,Onion
2014-06-17,business.india-business,Govt imposes US$ 300/tonne MEP on onion exports to check price,Onion
2014-06-19,city.trichy,Poor supply pushes up onion prices,Onion
2014-06-19,city.nashik,Onion auction resumes in APMCs,Onion
2014-06-19,business.india-business,Onion prices may hit Rs 100 per kg by October,Onion
2014-06-20,business.india-business,Despite record onion yield; prices shoot up,Onion
2014-06-21,city.delhi,Nafed to procure 300 tonnes of Onion to check prices in Delhi,Onion
2014-06-22,city.chandigarh,Onion prices rise; but stability may return,Onion
2014-06-25,city.mumbai,Don't panic over onion prices yet; says Vashi APMC,Onion
2014-06-30,india,Retail onion prices soar to double of wholesale rates,Onion
2014-07-01,city.chandigarh,Here's how you can beat onion prices,Onion
2014-07-01,india,Rein in onion retailers; states told,Onion
2014-07-02,city.delhi,Onion prices stable; may rise in August,Onion
2014-07-02,blogs,Sanjiv Shankaran: A bogeyman called onion hoarder,Onion
2014-07-03,business.india-business,Food inflation: Of onion tears and potato fears,Onion
2014-07-03,india,Farmers stocking onion expecting delayed harvest,Onion
2014-07-03,india,Onion; potato now essential items; stocks to be capped,Onion
2014-07-04,city.patna,Onion; potato should be sold at milk outlets,Onion
2014-07-04,city.bengaluru,Govt set to act against hoarders as onion prices touch Rs 40 per kg,Onion
2014-07-04,city.chandigarh,Prices of onion; potato surge in Amritsar as buyers panic,Onion
2014-07-04,city.nashik,Onion price drops 7% at Lasalgaon,Onion
2014-07-04,blogs,Pyaralal Raghavan: Imposing Essential Commodities Act is menacing talk that won't reduce onion tears,Onion
2014-07-06,city.nagpur,Onion prices upset eateries this Ramzan,Onion
2014-07-06,city.bhubaneswar,Onion; potato become essential commodities,Onion
2014-07-07,city.delhi,Govt plea 'misread'; onion costs Rs 40,Onion
2014-07-07,budget-2015.politics-budget-2015,Maharashtra onion politics may bring tears to Modi govt's eyes,Onion
2014-07-07,india,Maharashtra onion politics may bring tears to Modi govt's eyes,Onion
2014-07-08,city.ahmedabad,State govt seeks onion stock details from APMCs,Onion
2014-07-08,city.indore,In Indore onion prices double in a week,Onion
2014-07-09,business.india-business,Onion shortage despite the best-ever harvest,Onion
2014-07-10,city.chennai,Onion price drives Chennai mad; worse may be yet to come,Onion
2014-07-11,city.ahmedabad,Onion; potato under EC Act,Onion
2014-07-13,india,Govt to check onion prices with imports,Onion
2014-07-17,city.chennai,Onion prices drop to Rs 30/kg; but tomato hits high at Rs 50,Onion
2014-07-18,city.bengaluru,Onion prices double; tomato prices triple,Onion
2014-07-19,india,Food ministry's plan to ban onion export shot down,Onion
2014-07-20,city.nashik,Pawar opposes onion export ban,Onion
2014-07-23,city.lucknow,After onion; retail prices of tomatoes soar,Onion
2014-07-24,city.bengaluru,No check on hoarders as onion; potato prices rise,Onion
2014-07-26,city.nashik,Avg onion price settles at 1;800 a quintal at Lasalgaon,Onion
2014-07-29,city.nashik,Onion prices drop at Lasalgaon,Onion
2014-08-12,city.nashik,15% drop in onion prices due to poor demand,Onion
2014-08-26,city.ludhiana,Expected onion price rise worries homemakers,Onion
2014-09-07,city.nashik,Demand dip brings onion rates down 11%,Onion
2014-09-08,city.ahmedabad,State tops in onion; potato output,Onion
2014-09-19,city.nashik,Congress readies agri ammo in onion belt,Onion
2014-09-30,city.nashik,Kharif onion crop to arrive next month,Onion
2014-10-04,city.nashik,Kharif onion start reaching Umrane APMC,Onion
2014-10-11,home.specials.assembly-elections-2014.maharashtra-news,Sharad Pawar breathes fire at PM over onion prices,Onion
2014-10-11,india,Sharad Pawar breathes fire at PM over onion prices,Onion
2014-10-17,city.nashik,Average wholesale onion prices drop 10% at Lasalgaon,Onion
2014-10-31,city.nashik,Market opens to 14% rise in onion rates; tomatoes stabilise,Onion
2014-11-09,city.hubballi,Farmers block road after onion price drops to Rs 200,Onion
2014-11-12,city.hubballi,Onion prices fall; farmers block road,Onion
2014-11-16,city.nashik,Poor supply raises onion prices by 9% in a week,Onion
2014-11-20,city.nashik,Traders served notices for halting onion auction,Onion
2014-11-25,city.nashik,Onion auction resumes at Lasalgaon,Onion
2014-11-27,city.nashik,Onion irradiation trial likely from next summer,Onion
2014-12-13,city.guwahati,Assam plans steps to push up onion yield,Onion
2014-12-14,city.nashik,Decline in supply: Average wholesale onion price up 10%,Onion
2014-12-25,city.nashik,Onion prices fall 13% after kharif crop arrival,Onion
2014-12-26,city.nashik,Onion export falls 19.2% in 1st half of fiscal,Onion
2014-12-30,city.nashik,Onion prices drop 4% as supply rises,Onion
2015-01-02,city.nashik,Onion prices fall 8.77% at Lasalgaon,Onion
2015-02-05,life-style.food.recipes,Onion soup for the winters,Onion
2015-02-05,city.nashik,Avg onion price up 15% in a week at Lasalgaon,Onion
2015-02-15,city.nashik,Onion export down in first half of fiscal,Onion
2015-02-17,life-style.health-fitness.diet,How to get rid of bad breath after having onion,Onion
2015-02-17,unknown,DIET: How to get rid of bad breath after having onion,Onion
2015-02-17,city.nashik,Utilise price stability fund to control onion prices,Onion
2015-02-17,city.thiruvananthapuram,Recreating Virgin Mary and Jesus in onion peel collage,Onion
2015-02-26,city.nashik,Supply rises; onion prices drop by 18%,Onion
2015-02-26,city.nashik,Onion traders lobby for wagon freight as per actual weight,Onion
2015-03-09,life-style.health-fitness.health-news,Onion extract lowers high blood sugar; cholesterol,Onion
2015-03-12,city.madurai,Falling small onion prices leave farmers teary-eyed,Onion
2015-03-13,city.nashik,Avg wholesale onion prices at Lasalgaon increase marginally,Onion
2015-03-14,city.nashik,Rain damages crops on 2;414 ha; onion and wheat worst affected,Onion
2015-03-16,india,Govt to stock up on onion; potato to tame price rise,Onion
2015-03-24,city.nashik,Onion prices at Lasalgaon APMC decline 37% in 7 days,Onion
2015-03-29,business.india-business,Onion export declines by 11.44 per cent in first three quarters of 2014-15,Onion
2015-04-10,city.nashik,MEP cut to $250/tonne to boost onion exports,Onion
2015-04-14,city.nashik,Wholesale onion prices decline,Onion
2015-04-23,city.nashik,Onion export declined by 19.20% due to policy decisions; crop delay,Onion
2015-05-07,india,Red onion crop loss reduces Karnataka farmers to tears,Onion
2015-05-07,home.science,Now; muscles created from onion cells,Onion
2015-05-09,city.allahabad,An onion a day; keeps the doctor away,Onion
2015-05-16,india,Average wholesale onion prices up 10%,Onion
2015-05-26,city.nashik,Onion exports drop due to MEP hike; crop delay,Onion
2015-06-05,city.nashik,Onion price jump 24% in a week at Lasalgaon,Onion
2015-06-11,city.nashik,Marginal decline in average wholesale onion prices at Lasalgaon,Onion
2015-06-13,city.nashik,Onion export declines by 20% in 2014-15,Onion
2015-06-14,sports.football.copa-america-2015,Uruguay down Jamaica as 'Onion' strikes in Copa America,Onion
2015-06-27,business.india-business,Govt raises minimum export price of onion by $175,Onion
2015-06-28,city.nashik,Hike in MEP to affect country's onion export,Onion
2015-07-02,india,Cabinet extends onion stock limits for one year to curb prices,Onion
2015-07-06,life-style.food.quick-food,Sunday Special Recipe: Onion paratha,Onion
2015-07-09,city.navimumbai,10 years on; APMC onion-potato market remains 'dangerous',Onion
2015-07-13,city.nashik,Onion auction at Lasalgaon up 32 per cent,Onion
2015-07-15,city.ahmedabad,Onion prices may rise by 10-15%: Assocham,Onion
